stages,map,team,player_name,player_steamid,side,Kills,Assists,Deaths,Smokes Thrown,Molotovs Thrown,Grenades,Headshots,Rounds Played,Headshot %
Quarterfinals,Inferno,Natus Vincere,Aleksib,76561198013243326,Terrorist,3.0,4.0,11.0,2.0,1.0,0.0,2.0,15.0,66.67
Quarterfinals,Inferno,Natus Vincere,Aleksib,76561198013243326,Both,13.0,8.0,20.0,8.0,19.0,6.0,6.0,29.0,46.15
Quarterfinals,Inferno,Natus Vincere,b1t,76561198246607476,Counter Terrorist,9.0,3.0,5.0,7.0,16.0,3.0,7.0,14.0,77.78
Quarterfinals,Inferno,Natus Vincere,b1t,76561198246607476,Terrorist,8.0,2.0,9.0,2.0,0.0,0.0,7.0,15.0,87.5
Quarterfinals,Inferno,Natus Vincere,b1t,76561198246607476,Both,17.0,5.0,14.0,9.0,16.0,3.0,14.0,29.0,82.35
Quarterfinals,Inferno,Natus Vincere,iM,76561198050250233,Counter Terrorist,14.0,4.0,5.0,11.0,7.0,3.0,4.0,14.0,28.57
Quarterfinals,Inferno,Natus Vincere,iM,76561198050250233,Terrorist,10.0,3.0,13.0,3.0,0.0,0.0,6.0,15.0,60.0
Quarterfinals,Inferno,Natus Vincere,iM,76561198050250233,Both,24.0,7.0,18.0,14.0,7.0,3.0,10.0,29.0,41.67
Quarterfinals,Inferno,Natus Vincere,makazze,76561199076189612,Counter Terrorist,8.0,5.0,10.0,6.0,15.0,10.0,2.0,14.0,25.0
Quarterfinals,Inferno,Natus Vincere,makazze,76561199076189612,Terrorist,9.0,2.0,14.0,4.0,2.0,1.0,7.0,15.0,77.78
Quarterfinals,Inferno,Natus Vincere,makazze,76561199076189612,Both,17.0,7.0,24.0,10.0,17.0,11.0,9.0,29.0,52.94
Quarterfinals,Inferno,Natus Vincere,w0nderful,76561199063068840,Counter Terrorist,9.0,5.0,7.0,2.0,10.0,4.0,4.0,14.0,44.44
Quarterfinals,Inferno,Natus Vincere,w0nderful,76561199063068840,Terrorist,7.0,4.0,11.0,2.0,1.0,1.0,5.0,15.0,71.43
Quarterfinals,Inferno,Natus Vincere,w0nderful,76561199063068840,Both,16.0,9.0,18.0,4.0,11.0,5.0,9.0,29.0,56.25
Quarterfinals,Mirage,FURIA Esports,FalleN,76561197960690195,Counter Terrorist,5.0,2.0,11.0,3.0,3.0,1.0,3.0,12.0,60.0
Quarterfinals,Mirage,FURIA Esports,FalleN,76561197960690195,Terrorist,0.0,2.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0
Quarterfinals,Mirage,FURIA Esports,FalleN,76561197960690195,Both,5.0,4.0,17.0,4.0,3.0,1.0,3.0,18.0,60.0
Quarterfinals,Mirage,FURIA Esports,KSCERATO,76561198058500492,Counter Terrorist,12.0,0.0,12.0,2.0,1.0,2.0,4.0,12.0,33.33
Quarterfinals,Mirage,FURIA Esports,KSCERATO,76561198058500492,Terrorist,3.0,1.0,6.0,0.0,0.0,0.0,1.0,6.0,33.33
Quarterfinals,Mirage,FURIA Esports,KSCERATO,76561198058500492,Both,15.0,1.0,18.0,2.0,1.0,2.0,5.0,18.0,33.33
Quarterfinals,Mirage,FURIA Esports,YEKINDAR,76561198134401925,Counter Terrorist,9.0,4.0,11.0,3.0,6.0,0.0,5.0,12.0,55.56
